Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,VALUE,Link,bundle_number,bundle_price,Unit price
C1,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,CAP-00810,0.1uF,"https://fr.aliexpress.com/item/Durable-in-Use-0603-SMD-Chip-Capacitors-0-5pF-2-2uF-90Valuesx50-Sample-Book-Assortment-Kit/32721099737.html?spm=a2g0w.search0104.3.1.24702e2fL234Pw&ws_ab_test=searchweb0_0,searchweb201602_5_10152_10065_10151_10344_10068_5722815_10342_10343_10340_10341_5722915_5722615_10696_10084_10083_10618_10305_10304_10307_10306_10302_5722715_5711215_10313_10059_10184_10534_100031_10103_441_10624_10623_10622_5722515_10621_10620,searchweb201603_25,ppcSwitch_3&algo_expid=f9bd4688-3bce-46bd-9e56-f6bff1e0a8cc-0&algo_pvid=f9bd4688-3bce-46bd-9e56-f6bff1e0a8cc&priceBeautifyAB=0",,,0.01
C2,22nF,"22NF/22,000PF-0603-50V-10%",603,"0.022uF/22nF/22,000pF ceramic capacitors",,,,,CAP-07885,22nF,,,,0.01
C3,22nF,"22NF/22,000PF-0603-50V-10%",603,"0.022uF/22nF/22,000pF ceramic capacitors",,,,,CAP-07885,22nF,,,,0.01
C4,22nF,"22NF/22,000PF-0603-50V-10%",603,"0.022uF/22nF/22,000pF ceramic capacitors",,,,,CAP-07885,22nF,,,,0.01
C5,22nF,"22NF/22,000PF-0603-50V-10%",603,"0.022uF/22nF/22,000pF ceramic capacitors",,,,,CAP-07885,22nF,,,,0.01
C6,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,CAP-00810,0.1uF,,,,0.01
D1,,LED-FKIT-1206,FKIT-LED-1206,LED (Generic),,,,,,,"https://fr.aliexpress.com/item/1206-SMD-LED-SMD-LED-blue-green-and-white-bag-sample-pack-5-colors-each-20/32289160842.html?spm=a2g0w.search0104.3.2.693820e5zFdrBv&ws_ab_test=searchweb0_0,searchweb201602_5_10152_10065_10151_10344_10068_5722815_10342_10343_10340_10341_5722915_5722615_10696_10084_10083_10618_10305_10304_10307_10306_10302_5722715_5711215_10313_10059_10184_10534_100031_10103_441_10624_10623_10622_5722515_10621_10620,searchweb201603_25,ppcSwitch_3&algo_expid=e6af60a6-261b-4b26-9237-32c81900e8a6-0&algo_pvid=e6af60a6-261b-4b26-9237-32c81900e8a6&priceBeautifyAB=0",,,0.01
D2,,LED-FKIT-1206,FKIT-LED-1206,LED (Generic),,,,,,,,,,0.01
IC1,L293D,L293D,DIL16,PUSH-PULL 4 CHANNEL DRIVER,,L293D,9589619,56P8249,,,https://fr.aliexpress.com/item/50-PCS-L293D-DIP16-L293-DIP-nouveau-original-livraison-gratuite/32861102517.html?spm=a2g0s.13010208.99999999.262.QBfaHk,50,11.01,0.2202
IC2,MC78M05ABDT,MC78M05ABDT,DPACK_3,500 mA Positive Voltage Regulators,,,,,,,https://fr.aliexpress.com/item/Free-shipping-20pcs-New-78M05-TO252-7805-750mA/32617637330.html?spm=a2g0s.13010208.99999999.269.QBfaHk,30,1.03,0.0343333333
LIPO2S,JST-PH_2-PIN_HEADER,JST-PH_2-PIN_HEADER,JST_B2B-PH_HEADER,"2-pin JST PH Shrouded Header, top entry",,,,,,,,,,
