left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
0 0 0.0000000000 0.0 0.0 0.0000000000 -0.0 0.0 0.0000000000 0.0 0.0 0.0000000000 0 0.0 0.0000000000 0 0.0
0 30 18.2324562073 18.2324573646 -1.1572999980558052e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 0.3646466732 0.364646703086 -2.988600000808361e-08 0.0011562482 0.00115624830419 -1.0418999994363243e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
0 60 36.4649124146 36.4649147292 -2.3145999961116104e-06 -36.3354034424 -36.3354037267 2.8430000043044856e-07 0.7292786837 0.729278741054 -5.735399999373669e-08 0.0046249460 0.00462494671552 -7.155200000205642e-10 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
0 90 54.6973724365 54.6973720938 3.4269999815705887e-07 -54.5031051636 -54.5031055901 4.265000015379883e-07 1.0938813686 1.09388144938 -8.078000002242902e-08 0.0104059549 0.0104059557322 -8.321999998839313e-10 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
0 120 72.9298248291 72.9298294583 -4.6292000064340755e-06 -72.6708068848 -72.6708074534 5.686000008608971e-07 1.4584400654 1.45844016471 -9.931000000129586e-08 0.0184990410 0.0184990428575 -1.8574999975651263e-09 -0.0253668968 -0.0253668972029 4.029000015559614e-10
0 150 91.1622848511 91.1622868229 -1.971800003275348e-06 -90.8385086060 -90.8385093168 7.107999948630095e-07 1.8229401112 1.82294022546 -1.1425999990599678e-07 0.0289038811 0.028903882609 -1.5089999978734614e-09 -0.0317086205 -0.0317086215036 1.0036000017143998e-09
0 180 109.3947448730 109.394744188 6.849999891755942e-07 -109.0062103271 -109.00621118 8.52899987080491e-07 2.1873669624 2.18736697242 -1.0019999940880098e-08 0.0416200534 0.0416200565318 -3.1317999998892176e-09 -0.0380503424 -0.0380503458043 3.404300001619287e-09
0 210 127.6271972656 127.627201552 -4.286399999386958e-06 -127.1739120483 -127.173913043 9.947000023657893e-07 2.5517055988 2.55170574932 -1.5052000001958277e-07 0.0566470511 0.0566470532154 -2.1154000010015217e-09 -0.0443920717 -0.0443920701051 -1.5949000037318584e-09
0 240 145.8596496582 145.859658917 -9.258799991584965e-06 -145.3416137695 -145.341614907 1.1375000212865416e-06 2.9159417152 2.91594190342 -1.8822000003027028e-07 0.0739842579 0.0739842683139 -1.0413899992345321e-08 -0.0507337935 -0.0507337944058 9.05800004447066e-10
0 270 164.0921173096 164.092116281 1.028600024710613e-06 -163.5093231201 -163.50931677 -6.350099994278935e-06 3.2800607681 3.28006078612 -1.8020000158713856e-08 0.0936309993 0.093631004571 -5.270999997586401e-09 -0.0570755191 -0.0570755187065 -3.934999964760877e-10
30 0 18.2324562073 18.2324573646 -1.1572999980558052e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 0.3646466732 0.364646703086 -2.988600000808361e-08 -0.0011562482 -0.00115624830419 1.0418999994363243e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
30 30 36.4649124146 36.4649147292 -2.3145999961116104e-06 0.0000000000 -0.0 0.0 0.7292982340 0.729298294583 -6.05829999500429e-08 0.0000000000 0 0.0 0.0000000000 0 0.0
30 60 54.6973724365 54.6973720938 3.4269999815705887e-07 -18.1677017212 -18.1677018634 1.4220000110753972e-07 1.0939400196 1.09394010926 -8.96600000910297e-08 0.0034687447 0.00346874491256 -2.1255999998331943e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
30 90 72.9298248291 72.9298294583 -4.6292000064340755e-06 -36.3354034424 -36.3354037267 2.8430000043044856e-07 1.4585573673 1.45855748211 -1.1480999995150398e-07 0.0092498921 0.00924989343105 -1.3310499993868241e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
30 120 91.1622848511 91.1622868229 -1.971800003275348e-06 -54.5031051636 -54.5031055901 4.265000015379883e-07 1.8231356144 1.82313574896 -1.3456000003131408e-07 0.0173432566 0.0173432595537 -2.9536999998636126e-09 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
30 150 109.3947448730 109.394744188 6.849999891755942e-07 -72.6708068848 -72.6708074534 5.686000008608971e-07 2.1876602173 2.18766024706 -2.9760000241907392e-08 0.0277485624 0.0277485642862 -1.8862000017438874e-09 -0.0253668968 -0.0253668972029 4.029000015559614e-10
30 180 127.6271972656 127.627201552 -4.286399999386958e-06 -90.8385086060 -90.8385093168 7.107999948630095e-07 2.5521161556 2.55211631565 -1.600500003640093e-07 0.0404654332 0.0404654356526 -2.4526000050317798e-09 -0.0317086205 -0.0317086215036 1.0036000017143998e-09
30 210 145.8596496582 145.859658917 -9.258799991584965e-06 -109.0062103271 -109.00621118 8.52899987080491e-07 2.9164891243 2.91648929657 -1.72270000042829e-07 0.0554933995 0.0554934087091 -9.209100003404469e-09 -0.0380503424 -0.0380503458043 3.404300001619287e-09
30 240 164.0921173096 164.092116281 1.028600024710613e-06 -127.1739120483 -127.173913043 9.947000023657893e-07 3.2807643414 3.28076453484 -1.934400000180858e-07 0.0728319287 0.0728319255626 3.1374000064587904e-09 -0.0443920717 -0.0443920701051 -1.5949000037318584e-09
30 270 182.3245697021 182.324573646 -3.943899997693734e-06 -145.3416137695 -145.341614907 1.1375000212865416e-06 3.6449272633 3.64492737928 -1.1597999982626561e-07 0.0924803317 0.0924803353924 -3.692399996868545e-09 -0.0507337935 -0.0507337944058 9.05800004447066e-10
60 0 36.4649124146 36.4649147292 -2.3145999961116104e-06 36.3354034424 36.3354037267 -2.8430000043044856e-07 0.7292786837 0.729278741054 -5.735399999373669e-08 -0.0046249460 -0.00462494671552 7.155200000205642e-10 0.0126834484 0.0126834486014 -2.0139999910850914e-10
60 30 54.6973724365 54.6973720938 3.4269999815705887e-07 18.1677017212 18.1677018634 -1.4220000110753972e-07 1.0939400196 1.09394010926 -8.96600000910297e-08 -0.0034687447 -0.00346874491256 2.1255999998331943e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
60 60 72.9298248291 72.9298294583 -4.6292000064340755e-06 0.0000000000 -0.0 0.0 1.4585964680 1.45859658917 -1.2116999981159893e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
60 90 91.1622848511 91.1622868229 -1.971800003275348e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 1.8232333660 1.82323351543 -1.4942999992939576e-07 0.0057812412 0.00578124152093 -3.2092999958932555e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
60 120 109.3947448730 109.394744188 6.849999891755942e-07 -36.3354034424 -36.3354037267 2.8430000043044856e-07 2.1878361702 2.18783622316 -5.295999994103795e-08 0.0138748391 0.0138748401466 -1.0466000011088994e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
60 150 127.6271972656 127.627201552 -4.286399999386958e-06 -54.5031051636 -54.5031055901 4.265000015379883e-07 2.5523898602 2.55239004855 -1.8835000004102653e-07 0.0242805593 0.0242805633752 -4.07520000036965e-09 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
60 180 145.8596496582 145.859658917 -9.258799991584965e-06 -72.6708068848 -72.6708074534 5.686000008608971e-07 2.9168801308 2.91688032941 -1.9861000000176432e-07 0.0369980820 0.036998085715 -3.7149999951302526e-09 -0.0253668968 -0.0253668972029 4.029000015559614e-10
60 210 164.0921173096 164.092116281 1.028600024710613e-06 -90.8385086060 -90.8385093168 7.107999948630095e-07 3.2812922001 3.28129240583 -2.0573000014678655e-07 0.0520269871 0.0520269886962 -1.5961999985658615e-09 -0.0317086205 -0.0317086215036 1.0036000017143998e-09
60 240 182.3245697021 182.324573646 -3.943899997693734e-06 -109.0062103271 -109.00621118 8.52899987080491e-07 3.6456115246 3.64561162071 -9.610999995857128e-08 0.0693667531 0.0693667608864 -7.786399996989601e-09 -0.0380503424 -0.0380503458043 3.404300001619287e-09
60 270 200.5570373535 200.55703101 6.343499990180135e-06 -127.1739120483 -127.173913043 9.947000023657893e-07 4.0098233223 4.00982332037 1.930000159688916e-09 0.0890168026 0.0890167979099 4.6901000028132245e-09 -0.0443920717 -0.0443920701051 -1.5949000037318584e-09
90 0 54.6973724365 54.6973720938 3.4269999815705887e-07 54.5031051636 54.5031055901 -4.265000015379883e-07 1.0938813686 1.09388144938 -8.078000002242902e-08 -0.0104059549 -0.0104059557322 8.321999998839313e-10 0.0190251712 0.0190251729022 -1.7021999990096681e-09
90 30 72.9298248291 72.9298294583 -4.6292000064340755e-06 36.3354034424 36.3354037267 -2.8430000043044856e-07 1.4585573673 1.45855748211 -1.1480999995150398e-07 -0.0092498921 -0.00924989343105 1.3310499993868241e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
90 60 91.1622848511 91.1622868229 -1.971800003275348e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 1.8232333660 1.82323351543 -1.4942999992939576e-07 -0.0057812412 -0.00578124152093 3.2092999958932555e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
90 90 109.3947448730 109.394744188 6.849999891755942e-07 0.0000000000 -0.0 0.0 2.1878948212 2.18789488375 -6.254999984633969e-08 0.0000000000 0 0.0 0.0000000000 0 0.0
90 120 127.6271972656 127.627201552 -4.286399999386958e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 2.5525267124 2.5525269216 -2.0919999998980643e-07 0.0080937371 0.0080937381293 -1.0292999993999352e-09 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
90 150 145.8596496582 145.859658917 -9.258799991584965e-06 -36.3354034424 -36.3354037267 2.8430000043044856e-07 2.9171147346 2.91711496422 -2.2961999990300797e-07 0.0184997842 0.0184997868621 -2.6620999987736482e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
90 180 164.0921173096 164.092116281 1.028600024710613e-06 -54.5031051636 -54.5031055901 4.265000015379883e-07 3.2816443443 3.28164434813 -3.829999872806411e-09 0.0312178638 0.0312178671966 -3.396600001259742e-09 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
90 210 182.3245697021 182.324573646 -3.943899997693734e-06 -72.6708068848 -72.6708074534 5.686000008608971e-07 3.6461002827 3.64610041176 -1.2906000002033124e-07 0.0462476052 0.0462476071437 -1.9436999995625648e-09 -0.0253668968 -0.0253668972029 4.029000015559614e-10
90 240 200.5570373535 200.55703101 6.343499990180135e-06 -90.8385086060 -90.8385093168 7.107999948630095e-07 4.0104684830 4.01046849602 -1.3019999300922791e-08 0.0635885447 0.0635885417398 2.960200001789204e-09 -0.0317086205 -0.0317086215036 1.0036000017143998e-09
