left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
0 0 0 0.0 0.0 0 -0.0 0.0 0.0000000000 0.0 0.0 0.0000000000 0 0.0 0.0000000000 0 0.0
0 30 18 18.2324573646 -0.23245736459999833 -18 -18.1677018634 0.16770186340000137 0.3599981964 0.364646703086 -0.004648506685999976 -0.0011309714 0.00115624830419 -0.0022872197041899998 -0.0062831850 -0.00634172430072 5.853930071999993e-05
0 60 36 36.4649147292 -0.46491472919999666 -36 -36.3354037267 0.33540372670000096 0.7199857831 0.729278741054 -0.00929295795399998 -0.0045238631 0.00462494671552 -0.00914880981552 -0.0125663700 -0.0126834486014 0.00011707860139999887
0 90 54 54.6973720938 -0.6973720937999985 -54 -54.5031055901 0.5031055900999988 1.0799520016 1.09388144938 -0.013929447780000048 -0.0101786088 0.0104059557322 -0.0205845645322 -0.0188495554 -0.0190251729022 0.00017561750219999978
0 120 72 72.9298294583 -0.9298294583000057 -72 -72.6708074534 0.6708074534000019 1.4398862123 1.45844016471 -0.01855395241000002 -0.0180950966 0.0184990428575 -0.036594139457499994 -0.0251327399 -0.0253668972029 0.00023415730290000242
0 150 91 91.1622868229 -0.16228682290000052 -90 -90.8385093168 0.8385093167999997 1.8197754622 1.82294022546 -0.0031647632600000364 -0.0285873152 0.028903882609 -0.057491197809 -0.0314159244 -0.0317086215036 0.0002926971035999981
0 180 109 109.394744188 -0.3947441880000042 -109 -109.00621118 0.006211179999993988 2.1796054840 2.18736697242 -0.007761488419999907 -0.0414700136 0.0416200565318 -0.0830900701318 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
0 210 127 127.627201552 -0.6272015520000025 -127 -127.173913043 0.17391304299999888 2.5393760204 2.55170574932 -0.012329728919999727 -0.0562962182 0.0566470532154 -0.1129432714154 -0.0443313606 -0.0443920701051 6.070950509999562e-05
0 240 145 145.859658917 -0.8596589169999902 -145 -145.341614907 0.3416149070000074 2.8990712166 2.91594190342 -0.016870686819999925 -0.0733832568 0.0739842683139 -0.1473675251139 -0.0506145470 -0.0507337944058 0.00011924740580000065
0 270 164 164.092116281 -0.09211628099998848 -163 -163.50931677 0.5093167699999981 3.2786726952 3.28006078612 -0.001388090919999918 -0.0932996944 0.093631004571 -0.186930698971 -0.0568977334 -0.0570755187065 0.00017778530650000568
30 0 18 18.2324573646 -0.23245736459999833 18 18.1677018634 -0.16770186340000137 0.3599981964 0.364646703086 -0.004648506685999976 0.0011309714 -0.00115624830419 0.0022872197041899998 0.0062831850 0.00634172430072 -5.853930071999993e-05
30 30 36 36.4649147292 -0.46491472919999666 0 -0.0 0.0 0.7199999690 0.729298294583 -0.009298325583000033 0.0000000000 0 0.0 0.0000000000 0 0.0
30 60 54 54.6973720938 -0.6973720937999985 -18 -18.1677018634 0.16770186340000137 1.0799945593 1.09394010926 -0.013945549960000081 -0.0033929141 0.00346874491256 -0.00686165901256 -0.0062831850 -0.00634172430072 5.853930071999993e-05
30 90 72 72.9298294583 -0.9298294583000057 -36 -36.3354037267 0.33540372670000096 1.4399715662 1.45855748211 -0.018585915909999917 -0.0090477262 0.00924989343105 -0.018297619631049998 -0.0125663700 -0.0126834486014 0.00011707860139999887
30 120 91 91.1622868229 -0.16228682290000052 -54 -54.5031055901 0.5031055900999988 1.8199191093 1.82313574896 -0.0032166396599999647 -0.0171528403 0.0173432595537 -0.0344960998537 -0.0188495554 -0.0190251729022 0.00017561750219999978
30 150 109 109.394744188 -0.3947441880000042 -72 -72.6708074534 0.6708074534000019 2.1798279285 2.18766024706 -0.007832318560000218 -0.0273939669 0.0277485642862 -0.0551425311862 -0.0251327399 -0.0253668972029 0.00023415730290000242
30 180 127 127.627201552 -0.6272015520000025 -90 -90.8385093168 0.8385093167999997 2.5396866798 2.55211631565 -0.012429635850000231 -0.0398965813 0.0404654356526 -0.08036201695260001 -0.0314159244 -0.0317086215036 0.0002926971035999981
